census_year,HEI_code,HEI_name,administrative_structure,academic_status,maintainer_code,headquarters_region,headquarters_state,headquarters_city,institution_type,own_revenue,transferred_revenue,other_revenue,faculty_expenses,staff_expenses,social_contribution_expenses,cost_expenses,investment_expenses,research_expenses,other_expenses
2019,2076,CENTRO UNIVERSITÁRIO UNIRB,private_for_profit,university_center,17024,2,29,2927408,1,13773102,0,0,2904747,1352519,1319752,2285922,2795940,198333,1762957
2019,2079,FACULDADE DE ITAITUBA,private_for_profit,faculty,1368,1,15,1503606,1,4449167.52,0,0,1158615.3,725550.83,659969.26,750874.52,775378.71,180343.68,198435.22
2019,2082,FACULDADE DE CIÊNCIAS MÉDICAS DA PARAÍBA,private_for_profit,faculty,1371,2,25,2507507,2,78343850.65,0,4552590.41,12242734.16,8859382.19,8818468.38,9773460.87,19386168.34,1807609.79,9928630.19
2019,2084,FACULDADE CNEC NOVA PETRÓPOLIS,private_nonprofit,faculty,407,4,43,4313201,1,349236270.81,494225.04,24635308.31,148751181.65,61371761.13,5298224.23,16906426.05,4196128.03,0,96667425.6
2019,2085,CENTRO UNIVERSITÁRIO DE SALVADOR,private_for_profit,university_center,2415,2,29,2927408,1,2305821227.06,0,448153348.67,347194794.26,277230567.88,383647955.06,1590883520.05,18766883.39,0,0
2019,2086,INSTITUTO DE ENSINO SUPERIOR DE FOZ DO IGUAÇU,private_for_profit,faculty,611,4,41,4108304,1,12213587.16,0,737611.51,3083016.54,316470.49,1363507.42,7933032.02,0,0,0
2019,2091,INSTITUTO SUPERIOR DE EDUCAÇÃO PRÓ-SABER,private_nonprofit,faculty,1374,3,33,3304557,1,2332950.29,336540,0,909308.53,201784.05,608161.26,457266.73,0,0,364270.11
2019,2096,FACULDADE DOCTUM DE MANHUAÇU - DOCTUM,private_nonprofit,faculty,218,3,31,3139409,1,210794763.48,0,2060157.78,38168919.44,25013994.44,15251434.3,43401654,3158862.66,0,89665714.19
2019,2098,FACULDADE EXCELÊNCIA,private_nonprofit,faculty,15455,2,23,2307700,1,1830000,0,0,230045,18400,0,110000,0,0,170000
2019,2111,CENTRO UNIVERSITÁRIO INTA,private_nonprofit,university_center,1390,2,23,2312908,1,303729855.6,0,1804432.39,56897831,33379532,6443499.5,5985925.6,14301313,6091440.81,50974376.92
2019,2113,FACULDADE DOM BOSCO DE PORTO ALEGRE,private_nonprofit,faculty,1391,4,43,4314902,1,7629395.12,67000,802509.1,3451828.57,1443453.62,716618.02,2744784.35,1210637.72,208653.88,166668.5
2019,2117,FACULDADE DE CIÊNCIA E TECNOLOGIA,private_for_profit,faculty,1395,4,41,4117909,1,887852.74,0,0,489028.96,122257.24,230453.56,67195.17,69185.47,0,234040.84
2019,2122,CENTRO UNIVERSITÁRIO ESTÁCIO DE SERGIPE,private_for_profit,university_center,545,2,28,2800308,1,1229570897.03,0,16485228.64,128428617.52,47668847,45810500.09,150085648.39,0,0,207299413.53
2019,2123,CENTRO UNIVERSITÁRIO MAX PLANCK,private_for_profit,university_center,1399,3,35,3520509,2,49103486.92,0,1009104.42,5967789.2,6914866.48,3695209.57,12198271.52,4056545.14,0,11931760.45
2019,2124,FACULDADE CALAFIORI,private_for_profit,faculty,1400,3,31,3164704,1,563629,0,0,136629,344001.2,153452.9,0,0,0,0
2019,2126,ESCOLA DE DIREITO DO RIO DE JANEIRO,private_nonprofit,faculty,110,3,33,3304557,2,32347682.72,1932687.07,4344695.54,7429965.49,2311474.34,8836096.51,13912136.01,261235.91,5559233.25,314923.82
2019,2128,Escola de Direito de São Paulo - FGV DIREITO SP,private_nonprofit,faculty,110,3,35,3550308,2,20511701.4,1374177.68,7414756.07,8659793.95,3337123.77,5374342.85,4311341.27,316369.17,1883516.24,5418147.9
2019,2129,ESCOLA DE ECONOMIA DE SÃO PAULO,private_nonprofit,faculty,110,3,35,3550308,2,47880108.23,9649126.93,3226923.74,18205473.56,4643188.86,10552541.32,13179657.1,237000,13938298.06,0
2019,2131,FACULDADE DE SÃO BERNARDO DO CAMPO,private_for_profit,faculty,16134,3,35,3548708,1,258247286.85,0,2720403.15,3460849.11,458012.91,3064638.38,54798549.74,0,0,118628611.22
2019,2132,CENTRO UNIVERSITÁRIO UNINORTE,private_for_profit,university_center,1404,1,12,1200401,1,109314770.91,0,3247034.66,21151939.49,9464387.5,18158194.99,3658605.29,0,0,31036353.44
2019,2133,"Faculdade de Ciências, Educação e Teologia do Norte do Brasil",private_nonprofit,faculty,15456,1,14,1400100,2,907858.12,31478.65,271559.1,143202.63,270226.78,296003.25,452583.48,0,420,40253.54
2019,2134,FACULDADE ASSEMBLEIANA DO BRASIL,private_nonprofit,faculty,1406,5,52,5208707,2,1787774.6,0,0,317671.41,198296.52,371225.5,511210.1,0,60000,323936.15
