HEI_code,HEI_name,fac_qual,sci_work,acad_manag,spat_dist,train_offer,employment,acad_form,legal_system,ownership,tec_prof,logic_train,logic_schol,logic_relig,logic_comm,logic_market,logic_state,logic_number
30,UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO,0.495726495726496,0.165242165242165,0.00284900284900285,8,0,0.578347578347578,university,private,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2
32,UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL,0.378378378378378,0.532818532818533,0.455598455598456,2,8,0.347490347490347,university,public,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
33,FACULDADE DE TECNOLOGIA DE SOROCABA,0.302521008403361,0.815126050420168,0.109243697478992,1,9,0.546218487394958,faculty,public,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2
34,FACULDADE DE TECNOLOGIA DE SÃO PAULO,0.282793867120954,0.0153321976149915,0.0238500851788756,2,16,0.223168654173765,faculty,public,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2
35,FACULDADE DE TECNOLOGIA DE AMERICANA,0.246153846153846,0.0615384615384615,0.138461538461538,1,7,0.323076923076923,faculty,public,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2
36,FACULDADE DE TECNOLOGIA RUBENS LARA,0.309859154929577,0,0.140845070422535,1,5,0.0985915492957746,faculty,public,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2
37,FACULDADE DE TECNOLOGIA DE JAHU,0.271604938271605,0.17283950617284,0.123456790123457,1,7,0.283950617283951,faculty,public,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2
38,UNIVERSIDADE DO ESTADO DO PARÁ,0.385531135531136,0.097985347985348,0.0796703296703297,21,9,0.931318681318681,university,public,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
40,UNIVERSIDADE DO ESTADO DA BAHIA,0.494088363410081,0.212196639701307,0,28,0,0.924082140634723,university,public,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
43,FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,0.66890756302521,0.434453781512605,0.359663865546219,14,1,0.678151260504202,university,public,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
