program_code,HEI_code,active,program_name,campus_code,program_cine_code,degree_type,program_type,course_load,percent_dist,students_enrolled
53342,1895,active,SISTEMAS DE INFORMAÇÃO,658853,0615S02,bachelor,classroom,3200,0,61
53344,267,active,DIREITO,133433,0421D01,bachelor,classroom,4850,10,194
53347,1717,active,DIREITO,658711,0421D01,bachelor,classroom,4080,15,866
53349,1068,active,DIREITO,1062957,0421D01,bachelor,classroom,4102,0,419
53352,1952,active,ADMINISTRAÇÃO,658900,0413A01,bachelor,classroom,3060,20,108
53353,1075,active,DIREITO,1002396,0421D01,bachelor,classroom,4420,1.62,1009
53358,3602,active,RELAÇÕES PÚBLICAS,659556,0414R01,bachelor,classroom,3200,0,0
53367,1379,active,PSICOLOGIA,658437,0313P01,bachelor,classroom,4104,18,538
53370,23,active,PSICOLOGIA,692544,0313P01,bachelor,classroom,4080,13.48,640
53374,1530,active,ADMINISTRAÇÃO,658557,0413A01,bachelor,classroom,3180,12,77
53382,1381,active,DIREITO,658438,0421D01,bachelor,classroom,3940,9,692
53397,898,active,ENFERMAGEM,658154,0913E01,bachelor,classroom,4000,20,234
53405,344,active,SISTEMAS DE INFORMAÇÃO,1842,0615S02,bachelor,classroom,3240,0,320
53409,1836,active,FISIOTERAPIA,1649,0915F01,bachelor,classroom,4000,20,186
53411,1365,active,TEOLOGIA,673,0221T01,bachelor,classroom,3588,2,345
53414,1624,active,ENFERMAGEM,658632,0913E01,bachelor,classroom,3624,0,202
53424,5215,active,DIREITO,1065366,0421D01,bachelor,classroom,4102,0,424
53428,4522,active,ENGENHARIA,3877,0710E01,bachelor,classroom,4820,0,97
53429,4522,active,ENGENHARIA,3877,0616E01,bachelor,classroom,4284,5,138
53439,1190,active,MÚSICA,658309,0215M01,bachelor,classroom,2972,0,54
53454,2222,active,LETRAS,659043,0115L13,license,classroom,3120,0,14
